"filename" "count" "list"
"21" "FieldMetaData.java" 28 "21, 156, 522, 1233, 1265, 1345, 1485, 1685, 2085, 2220, 2394, 2409, 2905, 2948, 3884, 4244, 4812, 4856, 5063, 5100, 5212, 5254, 5298, 5381, 5398, 5409, 5798, 5908"
"22" "JPQLExpressionBuilder.java" 85 "22, 135, 275, 373, 380, 524, 540, 685, 897, 983, 987, 994, 997, 1082, 1095, 1154, 1183, 1205, 1235, 1346, 1377, 1397, 1659, 1859, 1879, 1884, 2133, 2209, 2271, 2382, 2478, 2499, 2603, 2664, 2721, 2737, 2804, 2829, 2861, 2867, 2931, 3060, 3067, 3328, 3358, 3421, 3438, 3508, 3665, 3724, 3746, 3768, 3825, 3858, 3968, 4053, 4107, 4132, 4151, 4258, 4300, 4304, 4402, 4472, 4573, 4636, 4742, 4896, 4917, 5086, 5183, 5210, 5290, 5299, 5331, 5354, 5405, 5420, 5460, 5479, 5653, 5740, 5750, 5767, 5969"
"23" "TestDetachNoProxy.java" 12 "23, 47, 314, 469, 767, 957, 2330, 3010, 3200, 3529, 4776, 5010"
"24" "SingleFieldManager.java" 40 "25, 114, 407, 470, 590, 764, 1002, 1021, 1109, 1137, 1204, 1544, 1604, 1729, 1954, 2244, 2246, 2337, 2514, 2988, 3050, 3131, 3225, 3245, 3271, 3426, 3593, 3596, 3606, 3616, 3624, 3833, 3967, 4010, 4366, 4376, 4509, 4705, 5115, 5547"
"25" "Address.java" 3 "26, 467, 2238"
"26" "TestAttrOverrides.java" 2 "27, 2239"
"27" "Zipcode.java" 1 "28"
"28" "TestSpecificationConfiguration.java" 4 "29, 1415, 2962, 5500"
"29" "AuditLogger.java" 1 "30"
"30" "DataSourceFactory.java" 21 "31, 229, 992, 1312, 1557, 1592, 1737, 2564, 2608, 2871, 3456, 3691, 4128, 4137, 4351, 4556, 4824, 4953, 5137, 5194, 5877"
"31" "Configurations.java" 30 "32, 79, 126, 218, 280, 447, 1017, 1059, 1480, 1488, 1768, 1909, 1957, 2417, 2543, 2901, 3074, 3104, 3653, 3690, 3811, 4070, 4283, 4310, 4560, 4725, 5263, 5282, 5316, 5571"
"32" "NativeJDBCSeq.java" 18 "34, 259, 268, 619, 872, 1840, 1973, 2116, 2459, 2830, 2955, 3077, 3338, 3477, 3496, 4202, 4452, 5453"
"33" "TestDataCacheBehavesIdentical.java" 13 "35, 1088, 2192, 2422, 3586, 3719, 3729, 4157, 4722, 5088, 5394, 5418, 5933"
"34" "AnnotationPersistenceMappingParser.java" 39 "36, 263, 296, 324, 400, 546, 968, 1298, 1395, 1473, 1866, 2105, 2397, 2453, 2775, 2841, 3122, 3195, 3251, 3540, 3598, 3683, 3730, 3823, 3835, 3895, 3990, 4286, 4291, 4425, 4447, 4470, 4591, 4619, 4840, 5457, 5532, 5763, 5820"
"35" "embed-orm.xml" 3 "37, 572, 2379"
"36" "TestAttrOverridesXml.java" 4 "38, 1713, 4229, 4727"
"37" "XMLPersistenceMappingParser.java" 13 "39, 405, 461, 506, 547, 2521, 3253, 3798, 3808, 3836, 4632, 5163, 5821"
"38" "JDBCConfigurationImpl.java" 41 "40, 361, 607, 777, 925, 1270, 1318, 1384, 1404, 1586, 2059, 2530, 2573, 2613, 2695, 2864, 2979, 3013, 3056, 3126, 3313, 3355, 3548, 3582, 3660, 3757, 3842, 3905, 3915, 4036, 4388, 4422, 4551, 4851, 5271, 5424, 5629, 5671, 5787, 5823, 5870"
"39" "ref_guide_conf.xml" 9 "41, 759, 892, 2143, 2385, 2643, 3562, 3876, 5068"
"40" "Serialization.java" 4 "42, 563, 4759, 5586"
"41" "Joins.java" 8 "43, 738, 940, 1573, 3431, 4022, 4267, 5259"
"42" "InstrumentationFactory.java" 5 "44, 70, 1852, 4026, 4889"
"43" "DetachManager.java" 19 "46, 284, 468, 675, 763, 766, 1150, 1215, 1332, 1648, 1750, 1965, 2428, 3350, 4059, 5009, 5099, 5149, 5523"
"44" "TestProxyCollection.java" 3 "48, 1498, 3469"
"45" "MySQLDictionary.java" 16 "50, 965, 1181, 1986, 2377, 3476, 3635, 3707, 3907, 3937, 4125, 4245, 5060, 5198, 5589, 5779"
