"filename" "count" "list"
"36" "RestDeleteByQueryAction.java" 19 "36, 1520, 1621, 2338, 2706, 2762, 3514, 3745, 4567, 5370, 5563, 6195, 8560, 9069, 10411, 10431, 10820, 10977, 12384"
"37" "TransportIndexDeleteByQueryAction.java" 14 "37, 728, 1481, 2765, 4181, 4735, 8778, 9065, 11086, 12098, 12130, 12160, 12389, 12530"
"38" "ExceptionsHelper.java" 11 "38, 1057, 1403, 2375, 3067, 4019, 5295, 8325, 11118, 11618, 13250"
"39" "FsTranslog.java" 20 "39, 174, 784, 845, 1002, 2297, 2711, 3108, 3305, 4321, 4340, 4804, 6861, 6988, 7325, 7388, 9188, 11356, 13055, 13295"
"40" "GatewayService.java" 8 "40, 278, 5102, 5648, 6964, 7548, 9912, 9962"
"41" "DoubleTerms.java" 18 "41, 1446, 2575, 2789, 3269, 5151, 5286, 6763, 7596, 7790, 9247, 10439, 10497, 10828, 11858, 12103, 12573, 13272"
"42" "DoubleTermsAggregator.java" 37 "42, 505, 1074, 1868, 2422, 2546, 2602, 3158, 3223, 3270, 3864, 3881, 4082, 4493, 4829, 4909, 5080, 5719, 6186, 6502, 7209, 7240, 7459, 7506, 7694, 7783, 8066, 9583, 9834, 10054, 10498, 10552, 10882, 11515, 11903, 12574, 12994"
"43" "InternalTerms.java" 14 "43, 1449, 2578, 2802, 3271, 5152, 5287, 7597, 7792, 9248, 10457, 10499, 10829, 13278"
"44" "LongTerms.java" 30 "44, 1450, 2423, 2579, 2803, 3272, 3882, 4910, 5037, 5153, 5288, 5504, 5720, 6187, 6767, 7210, 7598, 7793, 8067, 8337, 9249, 10459, 10500, 10830, 11865, 11867, 12104, 12575, 12995, 13279"
"45" "LongTermsAggregator.java" 50 "45, 507, 508, 1075, 1873, 2424, 2548, 2606, 2608, 3159, 3227, 3273, 3867, 3868, 3883, 4083, 4494, 4830, 4911, 5081, 5721, 5910, 6126, 6188, 6505, 7211, 7246, 7252, 7465, 7511, 7515, 7706, 7716, 7784, 8068, 9587, 9589, 9839, 10055, 10501, 10555, 10556, 10892, 11517, 11905, 12576, 12577, 12996, 13184, 13185"
"46" "StringTerms.java" 10 "46, 2580, 2806, 5038, 5154, 5505, 8338, 10462, 10847, 12106"
"47" "StringTermsAggregator.java" 58 "47, 271, 509, 510, 742, 790, 1880, 3231, 3275, 3862, 3866, 3869, 3870, 4192, 4350, 4477, 5113, 5792, 5912, 6127, 6506, 6863, 7253, 7256, 7474, 7509, 7516, 7519, 7717, 7720, 8114, 8510, 8784, 8788, 8790, 9577, 9586, 9590, 9591, 9845, 10056, 10347, 10502, 10551, 10554, 10557, 10559, 10700, 10848, 10890, 10900, 11521, 11564, 11599, 11777, 11906, 13186, 13188"
"48" "terms-aggregation.asciidoc" 7 "48, 1551, 2376, 3871, 4406, 5911, 6252"
"49" "TermsAggregatorFactory.java" 39 "49, 158, 272, 511, 743, 791, 1882, 2609, 2610, 3853, 3872, 4193, 4196, 5794, 6507, 6864, 7023, 7024, 7254, 7258, 7476, 7517, 7722, 8511, 8791, 9297, 9593, 9789, 10348, 10558, 10561, 10701, 10902, 11503, 11778, 11936, 12534, 12580, 13187"
"50" "TermsBuilder.java" 2 "50, 3873"
"51" "TermsParser.java" 7 "51, 3276, 3874, 6887, 8075, 10504, 12581"
"52" "UnmappedTerms.java" 5 "52, 2581, 5155, 10463, 12107"
"53" "TransportCountAction.java" 15 "53, 446, 964, 1370, 1377, 4721, 6623, 6929, 10081, 10812, 10822, 11078, 11799, 12115, 13216"
"54" "ElasticsearchMergePolicy.java" 6 "54, 1416, 5399, 5479, 6681, 7740"
"55" "RestUpgradeAction.java" 3 "55, 2574, 9269"
"56" "UpgradeTest.java" 2 "56, 9466"
"57" "RestClient.java" 8 "57, 2926, 3737, 5840, 6102, 10002, 10655, 11582"
"58" "RestSpec.java" 8 "58, 1498, 1865, 2991, 4248, 6234, 9519, 12888"
"59" "BinaryDVNumericIndexFieldData.java" 9 "59, 2949, 6366, 6671, 6981, 8513, 8574, 12630, 12789"
"60" "DoubleArrayIndexFieldData.java" 65 "60, 327, 352, 357, 1006, 1199, 1692, 1696, 1758, 1763, 1993, 1995, 2516, 2522, 2539, 2542, 2952, 3298, 4422, 4424, 4454, 4457, 5680, 5686, 6001, 6006, 6322, 6326, 6368, 6679, 6694, 6985, 7599, 7979, 8504, 8507, 8514, 8699, 9219, 9224, 9357, 9360, 9677, 9681, 9707, 9709, 9805, 9808, 10181, 10241, 10246, 10573, 11982, 11985, 12034, 12039, 12639, 12654, 12791, 12797, 13012, 13084, 13087, 13263, 13265"
"61" "FloatArrayIndexFieldData.java" 37 "61, 353, 1007, 1693, 1759, 1994, 2517, 2540, 2953, 3299, 4423, 4455, 5682, 5790, 6002, 6293, 6323, 6369, 6683, 6986, 7980, 8505, 8515, 9220, 9358, 9679, 9708, 9806, 10242, 10574, 11983, 12035, 12643, 12792, 13013, 13085, 13264"
"62" "FSTBytesAtomicFieldData.java" 15 "62, 454, 1418, 1990, 2883, 2954, 6324, 6370, 6685, 6987, 7743, 9010, 10521, 12645, 12793"
"63" "GlobalOrdinalsIndexFieldData.java" 17 "63, 455, 1423, 2958, 2960, 6374, 6376, 6697, 6704, 6777, 6778, 6992, 6995, 8516, 12656, 12661, 12798"
"64" "NumericDVIndexFieldData.java" 13 "64, 2963, 2970, 3766, 6378, 6999, 7006, 8517, 9629, 11694, 12665, 12802, 13119"
"65" "PackedArrayIndexFieldData.java" 38 "65, 360, 388, 457, 1008, 1429, 1697, 1770, 2482, 2525, 2544, 2964, 4446, 4458, 5691, 6013, 6328, 6379, 6713, 7000, 7264, 7655, 7981, 8509, 8518, 9013, 9229, 9362, 9866, 10249, 10529, 11485, 11988, 12041, 12470, 12668, 12803, 13089"
"66" "PagedBytesAtomicFieldData.java" 14 "66, 458, 1430, 1862, 1992, 2965, 6329, 6380, 6714, 7001, 9014, 10530, 12669, 12804"
"67" "ParentChildIndexFieldData.java" 29 "67, 362, 459, 949, 1432, 1773, 2161, 2884, 2967, 4057, 4912, 5693, 6015, 6382, 6717, 6780, 6946, 7003, 7657, 7759, 8520, 9096, 9231, 9914, 10120, 10251, 11805, 12672, 12806"
"68" "SortedSetDVBytesAtomicFieldData.java" 9 "68, 2971, 6384, 7007, 9016, 9636, 10533, 12678, 12807"
"69" "FsDirectoryService.java" 11 "69, 1485, 2063, 3576, 7853, 8016, 10306, 12747, 12748, 12749, 12751"
"70" "InternalEngineTests.java" 29 "70, 862, 894, 1486, 1673, 1700, 2037, 2068, 3111, 4055, 4348, 4480, 5005, 5244, 5310, 5481, 6276, 7449, 7611, 10018, 10392, 11067, 11811, 11816, 12234, 12242, 12264, 12894, 13045"
"71" "NodeEnvironment.java" 20 "71, 305, 1487, 1717, 3374, 3578, 3609, 4069, 5986, 6708, 8952, 10594, 10613, 11318, 11372, 11922, 12776, 12844, 12859, 13160"
