"filename" "count" "list"
"11" "SocketTestPermutation.java" 35 "11, 528, 694, 762, 1508, 2086, 2183, 2400, 2752, 3110, 3528, 3529, 4118, 4237, 5318, 7010, 7452, 8323, 9847, 9862, 10688, 11950, 12169, 12492, 12500, 13477, 15444, 15691, 15811, 15872, 16986, 18091, 18502, 18586, 18681"
"12" "AioCompletionHandler.java" 10 "12, 263, 3671, 4193, 8461, 8874, 14122, 15852, 16418, 16436"
"13" "AioEventLoop.java" 20 "13, 1026, 1664, 1954, 3501, 3753, 4798, 5180, 6378, 6634, 8005, 9881, 10735, 11592, 12575, 14123, 14313, 14715, 18104, 19122"
"14" "OioDatagramChannel.java" 50 "14, 312, 419, 953, 1109, 1370, 2111, 3272, 3444, 4045, 5404, 5697, 6520, 7557, 7612, 7722, 8626, 8678, 8702, 9094, 9167, 9467, 9490, 9825, 10119, 10282, 10531, 10538, 10585, 10733, 10848, 11195, 12188, 12278, 12305, 12979, 13210, 14307, 15285, 15652, 16086, 16815, 16887, 17602, 17850, 17934, 17961, 18030, 18894, 19466"
"15" "OioDatagramWorker.java" 13 "15, 2079, 3043, 6256, 7258, 7524, 8296, 8705, 10102, 14760, 15222, 17538, 17881"
"16" "Http2Client.java" 18 "16, 508, 892, 3511, 4689, 5542, 7021, 8115, 8852, 11611, 12145, 15301, 16403, 16532, 18865, 19126, 19274, 19534"
"17" "Http2Server.java" 10 "17, 509, 3513, 4692, 12146, 16405, 18526, 18866, 19127, 19277"
"18" "MemcacheClient.java" 2 "18, 16647"
"19" "SocketStartTlsTest.java" 27 "19, 993, 2701, 3206, 4938, 5805, 6740, 7707, 8334, 8501, 9759, 10148, 10882, 11607, 11927, 12130, 12457, 12892, 14143, 15539, 15838, 16116, 16953, 17330, 18024, 18333, 18511"
"20" "DefaultChannelHandlerContext.java" 319 "20, 201, 281, 320, 338, 389, 407, 435, 526, 530, 545, 578, 643, 665, 682, 724, 756, 761, 773, 862, 929, 949, 978, 1067, 1152, 1186, 1214, 1245, 1280, 1300, 1316, 1451, 1472, 1504, 1524, 1658, 1682, 1686, 1697, 1784, 1786, 1912, 2318, 2322, 2444, 2447, 2505, 2568, 2589, 2603, 2679, 2681, 2682, 2703, 2711, 2744, 2754, 2791, 2828, 2893, 3218, 3329, 3345, 3510, 3535, 3561, 3596, 3660, 3679, 3716, 3741, 3759, 3774, 3818, 3839, 3849, 3895, 4127, 4133, 4220, 4236, 4323, 4426, 4677, 4745, 5092, 5126, 5145, 5178, 5190, 5213, 5310, 5335, 5432, 5467, 5471, 5564, 5692, 5715, 5801, 5957, 6014, 6029, 6033, 6035, 6141, 6182, 6229, 6252, 6280, 6299, 6320, 6346, 6360, 6381, 6471, 6525, 6744, 6812, 6977, 6992, 7029, 7082, 7254, 7279, 7332, 7362, 7388, 7461, 7507, 7587, 7611, 7653, 7676, 7701, 7743, 7880, 8013, 8042, 8156, 8161, 8236, 8337, 8414, 8439, 8457, 8484, 8491, 8537, 8557, 8569, 8714, 8851, 8858, 8869, 8929, 9152, 9153, 9320, 9499, 9539, 9575, 9618, 9624, 9629, 9636, 9739, 9758, 9797, 9869, 9897, 9981, 10154, 10172, 10188, 10214, 10258, 10265, 10603, 10648, 10706, 10728, 10743, 10817, 10867, 10939, 10955, 11088, 11191, 11246, 11366, 11413, 11490, 11621, 11637, 11728, 11733, 11815, 11907, 11931, 12056, 12156, 12172, 12183, 12317, 12381, 12420, 12468, 12486, 12564, 12608, 12619, 12667, 12724, 12878, 12903, 12973, 12987, 13073, 13088, 13090, 13101, 13173, 13236, 13262, 13407, 13435, 13515, 13597, 13662, 13664, 13723, 13726, 13929, 13933, 14288, 14296, 14447, 14467, 14476, 14506, 14550, 14621, 14703, 14761, 14845, 14918, 14920, 14930, 14944, 15068, 15252, 15325, 15341, 15406, 15407, 15440, 15523, 15667, 15776, 15790, 15803, 15846, 16092, 16106, 16198, 16388, 16408, 16433, 16576, 16654, 16666, 16706, 16720, 16766, 16785, 16826, 16978, 17000, 17015, 17172, 17235, 17403, 17547, 17619, 17812, 17853, 17887, 17958, 17984, 18038, 18088, 18098, 18146, 18148, 18225, 18303, 18342, 18429, 18444, 18460, 18465, 18560, 18652, 18655, 18685, 18776, 18795, 18971, 19042, 19087, 19144, 19240, 19291, 19335, 19375, 19556, 19590, 19635"
"21" "SslHandler.java" 344 "21, 97, 120, 133, 242, 337, 474, 552, 581, 634, 637, 700, 721, 727, 800, 809, 831, 894, 905, 920, 999, 1084, 1189, 1242, 1393, 1422, 1480, 1521, 1538, 1566, 1670, 1690, 1743, 1775, 1788, 1855, 1942, 1998, 2152, 2309, 2403, 2477, 2513, 2556, 2576, 2593, 2657, 2722, 2751, 2805, 2827, 2891, 3001, 3078, 3137, 3174, 3229, 3233, 3299, 3418, 3448, 3527, 3531, 3572, 3605, 3699, 3700, 3740, 3748, 3763, 3764, 3805, 3814, 3816, 3901, 3943, 3967, 4209, 4213, 4258, 4361, 4429, 4442, 4446, 4464, 4482, 4487, 4657, 4723, 4724, 4893, 4988, 4994, 5125, 5129, 5151, 5159, 5185, 5199, 5224, 5229, 5440, 5474, 5500, 5514, 5547, 5551, 5570, 5644, 5680, 5716, 5774, 5800, 5803, 5904, 5917, 5964, 5965, 6023, 6025, 6088, 6179, 6287, 6313, 6349, 6492, 6538, 6546, 6817, 6915, 6933, 6944, 7004, 7013, 7026, 7094, 7125, 7266, 7318, 7340, 7359, 7409, 7410, 7482, 7492, 7511, 7550, 7577, 7581, 7680, 7706, 7754, 7820, 7828, 7830, 7836, 7840, 7875, 7895, 7907, 7925, 7940, 8138, 8251, 8303, 8401, 8423, 8446, 8480, 8546, 8558, 8571, 8602, 8641, 8679, 8786, 8927, 9046, 9112, 9157, 9193, 9202, 9363, 9457, 9495, 9579, 9589, 9591, 9623, 9692, 9760, 9774, 9806, 9834, 9896, 10046, 10072, 10149, 10175, 10318, 10329, 10598, 10695, 10716, 10731, 10763, 10869, 10975, 11200, 11257, 11262, 11263, 11278, 11299, 11402, 11625, 11731, 11782, 11788, 11827, 11835, 12005, 12069, 12099, 12170, 12180, 12258, 12304, 12323, 12373, 12393, 12471, 12508, 12731, 12784, 12852, 12907, 13016, 13106, 13158, 13164, 13289, 13352, 13414, 13520, 13569, 13701, 13758, 13775, 13798, 13858, 13921, 13939, 13969, 14022, 14064, 14164, 14203, 14240, 14388, 14458, 14489, 14502, 14538, 14714, 14741, 14822, 14835, 14859, 14903, 15114, 15181, 15345, 15355, 15402, 15441, 15540, 15774, 15797, 15830, 15862, 15933, 16023, 16098, 16203, 16358, 16454, 16615, 16681, 16713, 16717, 16726, 16759, 16869, 17013, 17020, 17187, 17219, 17222, 17444, 17509, 17529, 17540, 17558, 17649, 17693, 17838, 17870, 17917, 17919, 17990, 18163, 18178, 18196, 18232, 18288, 18404, 18446, 18469, 18488, 18607, 18610, 18643, 18739, 18751, 18767, 18812, 18885, 18933, 18955, 18966, 18997, 19155, 19272, 19288, 19294, 19313, 19332, 19368, 19491, 19569, 19612, 19646, 19681"
"22" "DatagramMulticastTest.java" 32 "22, 119, 2204, 2946, 3388, 3449, 3575, 4036, 6342, 7033, 7987, 8550, 9728, 10196, 10798, 10818, 12109, 12265, 13020, 13165, 13711, 14019, 14425, 14493, 14653, 16191, 17431, 18114, 18584, 18928, 19497, 19574"
"23" "DatagramUnicastTest.java" 16 "23, 2205, 2947, 3389, 3576, 4037, 7034, 8798, 9685, 11708, 12110, 13712, 15560, 17273, 17325, 18585"
"24" "DelimiterBasedFrameDecoder.java" 27 "24, 1678, 2948, 3635, 4070, 5243, 5619, 5871, 6780, 8939, 9088, 9275, 9833, 10931, 11437, 11456, 12046, 12764, 13883, 14967, 15135, 15701, 17352, 17480, 18358, 18578, 19619"
"25" "DelimiterBasedFrameDecoderTest.java" 22 "25, 1859, 2060, 2207, 2810, 3390, 5657, 5872, 7136, 7213, 8739, 9258, 11114, 11457, 11704, 12765, 14654, 15136, 16061, 16091, 17353, 18817"
"26" "LineBasedFrameDecoder.java" 9 "26, 2544, 3644, 5048, 8944, 11401, 13888, 14973, 18367"
"27" "LineBasedFrameDecoderTest.java" 9 "27, 1862, 2545, 5049, 5662, 7997, 11705, 14658, 16062"
"28" "HAProxyMessage.java" 2 "28, 19732"
"29" "HttpCodecUtil.java" 9 "29, 1514, 4425, 4655, 10929, 13551, 15905, 16495, 17149"
"30" "QueryStringDecoder.java" 28 "30, 1048, 3731, 4394, 4546, 4670, 4680, 5164, 5398, 5565, 6887, 8726, 8804, 9068, 10264, 10385, 10977, 10987, 11033, 11498, 12898, 15044, 15883, 16511, 16725, 16789, 17163, 19443"
"31" "QueryStringEncoder.java" 18 "31, 2849, 4395, 4547, 5165, 5399, 6888, 8727, 10978, 10988, 11034, 13553, 15045, 15884, 16512, 16790, 17164, 19494"
"32" "NioEventLoop.java" 51 "32, 391, 451, 763, 961, 1384, 1886, 3201, 3455, 3874, 4419, 4517, 5043, 5132, 5206, 5231, 5591, 6111, 6506, 6641, 6736, 7134, 7509, 7555, 8278, 8908, 9087, 9132, 10365, 11228, 11578, 11602, 11919, 11972, 12002, 12533, 13116, 13719, 13752, 13799, 14042, 14318, 14423, 14919, 16597, 18053, 18430, 18527, 19112, 19411, 19490"
"33" "AioSocketChannel.java" 167 "33, 61, 87, 115, 118, 264, 446, 484, 754, 769, 798, 947, 1027, 1064, 1116, 1147, 1202, 1344, 1469, 1507, 1583, 1665, 1955, 2002, 2026, 2047, 2328, 2580, 2670, 2767, 3076, 3371, 3472, 3723, 3754, 3787, 3879, 4195, 4243, 4299, 4317, 4320, 4667, 4671, 4799, 4817, 5076, 5162, 5169, 5407, 5519, 5560, 5784, 5971, 6032, 6225, 6249, 6284, 6496, 6507, 6540, 6561, 6570, 6572, 6703, 6837, 6838, 6909, 6971, 7117, 7151, 7154, 7353, 7361, 7617, 8056, 8164, 8385, 8462, 8521, 8612, 8613, 8620, 8621, 8644, 8850, 8875, 8988, 9054, 9078, 9244, 9691, 9876, 10006, 10134, 10364, 10371, 10503, 10737, 10787, 10919, 10934, 11201, 11235, 11554, 12008, 12136, 12434, 12476, 12607, 12734, 12969, 13182, 13198, 13434, 13478, 13479, 13911, 13928, 13986, 14012, 14126, 14282, 14326, 14468, 14717, 14742, 14864, 15161, 15351, 15401, 15428, 15454, 15650, 15674, 15690, 15810, 15827, 15854, 15871, 16090, 16440, 16898, 17229, 17234, 17284, 17479, 17571, 17720, 17940, 17979, 18003, 18022, 18083, 18099, 18154, 18220, 18472, 18479, 18501, 18579, 18740, 18842, 19034, 19124, 19593, 19637"
"34" "AbstractChannel.java" 316 "35, 50, 139, 204, 371, 388, 411, 505, 529, 574, 591, 599, 646, 666, 680, 777, 788, 848, 899, 1035, 1053, 1070, 1190, 1256, 1277, 1294, 1307, 1345, 1395, 1430, 1509, 1669, 1688, 1748, 1797, 1839, 1975, 2135, 2171, 2176, 2317, 2436, 2442, 2535, 2541, 2588, 2600, 2607, 2610, 2817, 2831, 2925, 3058, 3071, 3072, 3125, 3180, 3232, 3284, 3327, 3433, 3524, 3573, 3594, 3659, 3718, 3724, 3815, 3835, 3848, 3869, 3931, 3946, 3992, 3999, 4091, 4216, 4250, 4325, 4450, 4466, 4510, 4569, 4643, 4930, 5021, 5046, 5116, 5147, 5321, 5330, 5346, 5434, 5439, 5446, 5539, 5609, 5678, 5744, 5847, 6060, 6101, 6119, 6178, 6355, 6375, 6553, 6573, 6615, 6689, 6705, 6770, 6860, 7149, 7156, 7262, 7355, 7357, 7369, 7390, 7403, 7464, 7578, 7625, 7674, 7678, 7700, 7708, 7823, 7858, 7868, 7898, 7902, 7949, 8025, 8095, 8160, 8214, 8247, 8332, 8370, 8404, 8430, 8603, 8808, 8822, 8864, 8928, 9383, 9398, 9566, 9761, 9782, 9867, 9885, 9894, 10013, 10051, 10125, 10255, 10257, 10274, 10312, 10400, 10445, 10552, 10588, 10657, 10697, 10825, 10951, 10999, 11264, 11346, 11408, 11488, 11507, 11535, 11544, 11589, 11632, 11748, 11750, 11789, 11802, 11863, 11903, 11943, 11944, 11956, 12071, 12077, 12104, 12178, 12199, 12279, 12282, 12316, 12440, 12472, 12509, 12571, 12621, 12643, 12756, 12870, 13003, 13009, 13172, 13223, 13341, 13380, 13400, 13415, 13440, 13483, 13533, 13614, 13699, 13741, 13860, 13927, 14001, 14033, 14098, 14167, 14270, 14279, 14292, 14409, 14495, 14498, 14616, 14701, 14736, 14797, 14869, 14912, 15115, 15123, 15171, 15228, 15363, 15395, 15670, 15726, 15795, 15804, 15833, 15944, 15953, 16099, 16204, 16219, 16251, 16296, 16386, 16439, 16630, 16719, 16727, 16775, 16793, 16862, 16880, 16892, 16939, 16977, 16996, 17023, 17028, 17077, 17209, 17232, 17425, 17664, 17682, 17715, 17802, 17903, 17949, 17954, 18004, 18087, 18115, 18179, 18216, 18310, 18411, 18423, 18439, 18487, 18531, 18580, 18596, 18678, 18749, 18791, 18819, 18861, 18956, 18961, 19012, 19038, 19095, 19226, 19254, 19315, 19385, 19413, 19538, 19544, 19656, 19658, 19689, 19691"
