before_file_path change CE-Avg CE-Left CE-Right CE-Diff
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/NioServerSocketPipelineSink.java -8.36536242537711 -5.697882432903281 -8.36536242537711 -8.934434699212288 0.569072273835177
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/OioClientSocketPipelineSink.java -8.211135769724237 -5.4766154626481764 -8.211135769724237 -8.211135769724237 0.0
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/ThreadRenamingRunnable.java -7.357206087169488 -4.9127923383379315 -7.357206087169488 -7.357206087169488 0.0
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/NioClientSocketPipelineSink.java -8.274816705748826 -5.903432560963339 -8.274816705748826 -10.293064682760734 2.0182479770119084
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/NioWorker.java -8.26641710953218 -6.135804945715136 -8.26641710953218 -11.90294598082638 3.6365288712941997
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/1/b/OioServerSocketPipelineSink.java -8.376951879502947 -5.565721107132807 -8.376951879502947 -8.29241383301255 -0.08453804649039753
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/2/b/NioSocketChannel.java -8.663624248226306 -5.828256312443151 -8.663624248226306 -8.904280477343702 0.2406562291173966
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/3/b/VoidChannelPromise.java -6.210597834513355 -3.665270853155423 -6.210597834513355 -4.471630440849616 -1.7389673936637395
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/3/b/NioEventLoop.java -7.721607451906718 -5.255142677154597 -7.721607451906718 -8.222776688000158 0.5011692360934399
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/3/b/ThreadPerChannelEventLoop.java -8.34368767834829 -5.5823243752758795 -8.34368767834829 -8.403499059555088 0.05981138120679752
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/5/b/AbstractEmbeddedChannel.java -8.87436450385359 -5.916243002569059 -8.87436450385359 -8.87436450385359 0.0
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/5/b/EmbeddedByteChannel.java -9.412320664838449 -6.281244419334381 -9.412320664838449 -9.412320664838449 0.0
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/5/b/DefaultChannelPipeline.java -8.341082562284742 -5.0743950099096455 -8.341082562284742 -6.477512498292002 -1.8635700639927393
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/5/b/DefaultChannelHandlerContext.java -7.755890376091837 -5.237181739907834 -7.755890376091837 -8.061223459930218 0.30533308383838165
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/5/b/AbstractChannel.java -8.110463006984936 -5.477797449468456 -8.110463006984936 -8.437735937788638 0.32727293080370146
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/6/b/DefaultChannelPipeline.java -8.341082562284742 -4.999779622154461 -8.341082562284742 -6.239773542748159 -2.1013090195365827
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/6/b/EmbeddedEventLoop.java -6.00289101737585 -3.7616945174771064 -6.00289101737585 -5.037720304778164 -0.9651707125976863
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/6/b/DefaultChannelHandlerContext.java -7.755890376091837 -4.398915736757685 -7.755890376091837 -5.08069771447987 -2.675192661611967
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/6/b/AbstractChannel.java -8.110463006984936 -5.25425612147201 -8.110463006984936 -7.459972545856049 -0.6504904611288875
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/7/b/DefaultPromise.java -7.412912071917773 -4.937140837725525 -7.412912071917773 -7.391351513273908 -0.021560558643864525
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/7/b/DefaultPromiseTest.java -8.28608457289796 -3.9573870896505596 -8.28608457289796 -3.7876571693269465 -4.498427403571014
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/10/b/DefaultHttp2ConnectionTest.java -7.743314660532677 -5.887179341244864 -7.743314660532677 -12.276366223216034 4.533051562683356
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/10/b/Http2Connection.java -11.352208716044396 -8.213801122839898 -11.352208716044396 -14.855429374511221 3.503220658466825
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/10/b/Http2ConnectionAdapter.java -9.403710107130738 -6.687082742848525 -9.403710107130738 -11.463570416311757 2.059860309181019
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/10/b/DefaultHttp2Connection.java -8.27063414439604 -6.3774198973980285 -8.27063414439604 -13.925252622681409 5.65461847828537
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/11/b/NioWorker.java -8.26641710953218 -5.871297706604514 -8.26641710953218 -10.131978338471667 1.8655612289394874
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/12/b/Http2Client.java -9.292454486908467 -6.531849394812302 -9.292454486908467 -10.979918614592458 1.6874641276839917
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/12/b/Http2Server.java -10.345842219969983 -7.538286665025619 -10.345842219969983 -13.854656538962297 3.5088143189923144
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/16/b/ReplayingDecoderTest.java -9.016282827517607 -6.080748883674665 -9.016282827517607 -9.310582860463285 0.29430003294567797
/home/ashley/reuse/Git_Scripts/Repos/netty_buggy/17/b/ChannelBuffers.java -8.368444605536855 -5.862983008485214 -8.368444605536855 -9.791418991903445 1.4229743863665902
