before_file_path change CE-Left CE-Right CE-Avg CE-Diff
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/1153/b/AtmosphereFramework.java -0.553821673975382 -0.3691834437366965 -0.553821673975382 -0.5536821722942797 -1.395016811022165E-4
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/1153/b/ManagedAtmosphereHandlerTest.java -2.4698129462757534 -1.6191478889518538 -2.4698129462757534 -2.349963653085219 -0.11984929319053439
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/3631/b/InjectableObjectFactory.java -3.747331832054733 -2.3913205923623693 -3.747331832054733 -3.299961022836389 -0.44737080921834416
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/3789/b/TomcatWebSocketHandler.java -2.4776078355453324 -1.7955133706988442 -2.4776078355453324 -3.2529961068162434 0.775388271270911
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/3789/b/WebSocketProcessor.java -0.9951899005568638 -0.9282281671087221 -0.9951899005568638 -6.868091674229343 5.87290177367248
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/5361/b/JerseyBroadcasterUtil.java -1.7769199527981367 -1.0988421201729826 -1.7769199527981367 -1.4380555994635695 -0.3388643533345672
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4307/b/WebSocketHandlerServiceProcessor.java -2.4220258557822056 -1.5519371200262493 -2.4220258557822056 -2.154847943633569 -0.26717791214863684
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4307/b/ManagedServiceProcessor.java -1.0355306481792337 -0.7640432123270001 -1.0355306481792337 -1.4571395549379218 0.4216089067586881
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4307/b/AtmosphereHandlerServiceProcessor.java -0.9341021713302801 -0.6093658209093655 -0.9341021713302801 -0.8746761882635425 -0.05942598306673752
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4307/b/MeteorServiceProcessor.java -2.2839053552316004 -1.467713472797737 -2.2839053552316004 -2.053511393958237 -0.23039396127336342
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4307/b/AtmosphereFramework.java -2.6783215084870737 -1.7478232828502098 -2.6783215084870737 -2.5152208822267865 -0.1631006262602872
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4015/b/MeteorPubSub.java -0.6473073302040699 -0.4728251546748531 -0.6473073302040699 -0.874362824491036 0.22705549428696603
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2420/b/AtmosphereResourceStateRecovery.java -3.1692761986693374 -2.1289437658874615 -3.1692761986693374 -3.240389351967827 0.07111315329848944
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2677/b/HeartbeatInterceptor.java -2.6899050258782866 -1.7611591216264633 -2.6899050258782866 -2.547014984662973 -0.1428900412153138
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/5517/b/PathTest.java -2.3090839208255542 -1.3988214397874184 -2.3090839208255542 -1.7735851082655865 -0.5354988125599678
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/4247/b/DefaultWebSocketProcessor.java -1.7723471569851796 -1.1114559360734917 -1.7723471569851796 -1.4899703415474361 -0.2823768154377435
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/Tomcat7BIOSupportWithWebSocket.java -2.3622866403834037 -1.5748577602556026 -2.3622866403834037 -2.3622866403834037 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/JettyAsyncSupportWithWebSocket.java -2.771200692855112 -1.8474671285700746 -2.771200692855112 -2.771200692855112 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/WebSocketHandler.java -2.7033123229943277 -2.2470570786070994 -2.7033123229943277 -6.574722563331883 3.871410240337555
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/WebSocketProcessorFactory.java -3.8039157507156545 -2.3999468458773845 -3.8039157507156545 -3.2512100433467133 -0.5527057073689412
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/DefaultWebSocketProcessor.java -0.9831142887906695 -0.6171329545500456 -0.9831142887906695 -0.8288841109350863 -0.15423017785558324
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/GlassFishWebSocketHandler.java -3.106446001670405 -2.0709640011136035 -3.106446001670405 -3.106446001670405 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/JettyServlet30AsyncSupportWithWebSocket.java -2.6804926516932106 -1.7869951011288072 -2.6804926516932106 -2.6804926516932106 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/WebSocketProcessor.java -2.4144835249528347 -1.598438570526267 -2.4144835249528347 -2.352573690979685 -0.06190983397314964
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/AtmosphereFramework.java -2.4111185062751037 -1.6067428613245174 -2.4111185062751037 -2.4081083708115893 -0.003010135463514363
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/Jetty9AsyncSupportWithWebSocket.java -3.2034247996423755 -2.1549395780442415 -3.2034247996423755 -3.288029056055499 0.08460425641312375
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/Tomcat7AsyncSupportWithWebSocket.java -2.2962681147707578 -1.5683661306767596 -2.2962681147707578 -2.4611283896773766 0.1648602749066188
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2401/b/WebSocketProcessorTest.java -2.1314617305154515 -1.4129603141985292 -2.1314617305154515 -2.0958002086406755 -0.035661521874776
