before_file_path change CE-Avg CE-Left CE-Right CE-Diff
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/2/b/ClassMetaData.java -8.47899865216 -5.6840997603483085 -8.47899865216 -8.62130046274363 0.14230181058363023
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/JDBCExpressionFactory.java -13.706327041016074 -9.40364623065169 -13.706327041016074 -14.971436767898458 1.2651097268823843
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/ConstPath.java -9.763533156253219 -6.06739223125682 -9.763533156253219 -8.013653486700708 -1.7498796695525112
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/DBDictionary.java -8.774021638578258 -6.492572506413152 -8.774021638578258 -12.484602627814523 3.7105809892362647
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/NotContainsExpression.java -10.038405882697413 -6.686684385970397 -10.038405882697413 -10.01330986799067 -0.02509601470674383
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/AbstractVal.java -11.727822680227993 -7.61900313332677 -11.727822680227993 -10.873477981668337 -0.8543446985596557
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/SubQ.java -10.138992186016985 -7.16053572895767 -10.138992186016985 -12.187624168808087 2.048631982791102
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/PCPath.java -9.934534973144107 -7.468162004907945 -9.934534973144107 -15.040855048764834 5.106320075620728
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/JDBCStoreQuery.java -10.099970704159379 -6.767278213542766 -10.099970704159379 -10.254368186701797 0.15439748254241792
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/SelectConstructor.java -9.175776993197296 -6.386164269398049 -9.175776993197296 -10.496964533155122 1.3211875399578261
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/3/b/Lit.java -10.338795719335947 -6.639763261612889 -10.338795719335947 -9.255929334767094 -1.0828663845688524
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/4/b/TestException.java -7.701992103725894 -4.057882738909307 -7.701992103725894 -4.283993617893308 -3.4179984858325865
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/5/b/XMLPersistenceMetaDataParser.java -8.42593806598079 -5.782159356062462 -8.42593806598079 -9.213111240953612 0.787173174972823
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/5/b/ClassMetaData.java -8.47899865216 -5.743414372835172 -8.47899865216 -8.900914348375531 0.4219156962155317
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/5/b/AnnotationPersistenceMetaDataParser.java -8.764039714816061 -5.811321526629868 -8.764039714816061 -8.624367347131686 -0.13967236768437452
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/6/b/SchemaGenerator.java -8.197454403052452 -5.489708804380629 -8.197454403052452 -8.307961523182 0.11050712012954733
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/7/b/TestDataCacheBehavesIdentical.java -8.750165117125253 -5.818358777549116 -8.750165117125253 -8.677849702934136 -0.07231541419111664
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/8/b/SaveFieldManager.java -9.132800971605477 -5.843565621675691 -9.132800971605477 -8.112542294734148 -1.0202586768713289
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/8/b/AbstractUnenhancedClassTest.java -8.163209739953865 -5.634951444144597 -8.163209739953865 -9.097031460206162 0.9338217202522969
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/8/b/StateManagerImpl.java -8.122231622660433 -5.57598600975606 -8.122231622660433 -8.893378090948085 0.7711464682876521
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/8/b/BrokerImpl.java -8.440569846264639 -5.714401165967703 -8.440569846264639 -8.84588019622536 0.4053103499607218
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/9/b/QueryResultCacheImpl.java -9.115199971463365 -6.076799980975577 -9.115199971463365 -9.115199971463365 0.0
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/10/b/BrokerImpl.java -8.440569846264639 -5.825850239098145 -8.440569846264639 -9.402775471809033 0.962205625544394
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/11/b/TestTimestampVersion.java -8.408635567207192 -5.687768980916396 -8.408635567207192 -8.788813239128793 0.3801776719216008
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/12/b/PCEnhancer.java -7.9277649191216675 -5.685524055068936 -7.9277649191216675 -10.050497649600807 2.1227327304791395
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/13/b/TestTablePerClassInheritanceWithAbstractRoot.java -9.018862623095748 -6.0522739571554895 -9.018862623095748 -9.18314063080241 0.16427800770666146
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/14/b/BrokerImpl.java -8.440569846264639 -5.6095884610948294 -8.440569846264639 -8.362492855429183 -0.07807699083545572
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/15/b/FetchGroup.java -7.746688215154827 -3.4883352536554426 -7.746688215154827 -3.1729457191926627 -4.573742495962165
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/16/b/OpenJPAConfigurationImpl.java -8.40343083360773 -5.529886704717255 -8.40343083360773 -8.085837272093901 -0.31759356151382967
/home/ashley/reuse/Git_Scripts/Repos/openjpa_buggy/17/b/NameSet.java -6.974427384334004 -4.048374516193876 -6.974427384334004 -4.8247751083406465 -2.1496522759933576
