before_file_path change CE-Avg CE-Left CE-Right CE-Diff
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/1/b/AtmosphereServlet.java -7.108616430289252 -6.59332762056157 -7.108616430289252 -45.47880350688503 38.370187076595776
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/2/b/DefaultWebSocketProcessor.java -6.89373228134072 -3.8854241817851314 -6.89373228134072 -4.451850213186429 -2.4418820681542908
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/3/b/BroadcasterConfig.java -7.368536390281954 -4.557819880298411 -7.368536390281954 -5.974359478986734 -1.3941769112952205
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/3/b/AtmosphereServlet.java -7.140085403035595 -4.683680372920942 -7.140085403035595 -6.807077304677281 -0.3330080983583139
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/AbstractBroadcasterCache.java -6.995320029514338 -4.630565450937356 -6.995320029514338 -6.841817709117472 -0.15350232039686595
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/SessionBroadcasterCache.java -6.879726997175462 -4.586484664783642 -6.879726997175462 -6.879726997175462 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/DefaultBroadcaster.java -6.749315810352133 -4.444815693646321 -6.749315810352133 -6.5088876797522985 -0.2404281305998346
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/BroadcasterCache.java -10.568615489012812 -6.978320275041953 -10.568615489012812 -10.199083478907468 -0.36953201010534364
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/DefaultBroadcasterCache.java -7.772558960652072 -4.754348780055219 -7.772558960652072 -6.094781916282241 -1.6777770443698303
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/UUIDBroadcasterCache.java -6.753880322584306 -4.519004700799344 -6.753880322584306 -6.828303246249146 0.07442292366484082
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/7/b/HeaderBroadcasterCache.java -7.961350811269376 -5.313738797289095 -7.961350811269376 -7.961350811269376 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/8/b/DefaultWebSocketProcessor.java -7.082963476156157 -4.715016611720775 -7.082963476156157 -7.051739832483715 -0.031223643672441348
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/8/b/WebSocketHandlerTest.java -7.184524863757315 -4.629952143294991 -7.184524863757315 -6.510679070723274 -0.6738457930340411
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/8/b/WebSocket.java -7.0937258114210335 -4.729150540947356 -7.0937258114210335 -7.0937258114210335 0.0
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/9/b/DefaultBroadcaster.java -6.813058045916789 -4.561402438991221 -6.813058045916789 -6.9001834712641985 0.08712542534740919
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/10/b/DefaultWebSocketProcessor.java -7.036845731677401 -4.687361659625828 -7.036845731677401 -7.01946467305999 -0.017381058617410794
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/11/b/HeartbeatInterceptor.java -7.245777095116943 -4.335587933963417 -7.245777095116943 -5.3973645708524165 -1.8484125242645266
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/12/b/ChatAtmosphereHandler.java -7.1519661009397035 -6.177936431954582 -7.1519661009397035 -22.68123515228081 15.529269051341107
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/14/b/DefaultAnnotationProcessor.java -7.147485361141797 -3.939506015953272 -7.147485361141797 -4.386381502342116 -2.7611038587996806
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/14/b/MeteorService.java -3.9582469677710512 -1.9873356145240548 -3.9582469677710512 -1.9873356145240548 -1.9709113532469964
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/15/b/ApplicationConfig.java -8.309557755630813 -5.059702307642626 -8.309557755630813 -6.46075651374923 -1.8488012418815831
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/16/b/BroadcasterCacheInspectorServiceProcessor.java -9.313413220432961 -6.385178496104693 -9.313413220432961 -10.084178452468791 0.7707652320358296
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/17/b/JSR356WebSocket.java -7.291667144761962 -4.103852865393667 -7.291667144761962 -4.693486897777815 -2.598180246984147
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/18/b/JSR356Endpoint.java -7.295998803341938 -4.94803425806841 -7.295998803341938 -7.687691046790583 0.39169224344864517
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/18/b/JSR356AsyncSupport.java -8.003831174643556 -5.360774984509397 -8.003831174643556 -8.105431288285011 0.10160011364145483
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/19/b/WebSocketProcessor.java -7.870744388369372 -4.762858768023031 -7.870744388369372 -6.030988347125138 -1.8397560412442342
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/19/b/GlassFishWebSocketSupport.java -8.344420393501668 -4.830688994381271 -8.344420393501668 -5.735967719312564 -2.6084526741891043
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/20/b/DefaultBroadcaster.java -6.860103900923578 -4.340586429175728 -6.860103900923578 -5.908618126246381 -0.951485774677197
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/21/b/ManagedServiceProcessor.java -7.998329597047158 -5.386375088011446 -7.998329597047158 -8.247081474467286 0.24875187742012805
/home/ashley/reuse/Git_Scripts/Repos/atmosphere/21/b/ManagedServiceInterceptor.java -7.681138749753998 -5.487415466045939 -7.681138749753998 -9.593275128759236 1.9121363790052381
